City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Zavetnoye,RU,47.1194,43.8903,74.16,58,96,3.27,light rain
193,Jiayuguan,CN,39.8167,98.3,73.27,30,93,8.3,overcast clouds
194,Ostrovnoy,RU,68.0531,39.5131,57.16,97,100,4.88,overcast clouds
195,Marawi,PH,7.9986,124.2928,68.83,93,41,2.19,scattered clouds
196,Dong Hoi,VN,17.4833,106.6,78.66,89,100,1.68,overcast clouds
197,Cabinda,AO,-5.55,12.2,70.34,90,37,8.19,scattered clouds
198,Hasaki,JP,35.7333,140.8333,73.8,94,100,9.31,moderate rain
199,San Cristobal,VE,7.7669,-72.225,75.38,73,46,5.79,scattered clouds
200,Villanueva,HN,15.3167,-88.0,89.04,66,40,10.36,scattered clouds
201,Taoudenni,ML,22.6783,-3.9836,106.02,9,81,5.35,broken clouds
202,Bavleny,RU,56.4,39.56,58.84,91,0,5.77,clear sky
203,Bratsk,RU,56.1325,101.6142,52.29,66,100,2.44,overcast clouds
204,Luocheng,CN,29.3848,104.0286,75.63,98,99,7.0,overcast clouds
205,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,93,80,8.68,broken clouds
206,Hatillo,PR,18.4863,-66.8254,87.39,79,15,11.01,few clouds
207,Kachug,RU,53.9606,105.8817,53.4,96,33,3.74,scattered clouds
208,Gwadar,PK,25.1216,62.3254,83.07,85,57,7.78,broken clouds
209,Hamilton,US,39.1834,-84.5333,90.75,41,0,12.66,clear sky
210,Inhambane,MZ,-23.865,35.3833,68.31,75,3,6.87,clear sky
211,Porto Velho,BR,-8.7619,-63.9039,84.25,70,40,6.91,scattered clouds
212,Port Hawkesbury,CA,45.6169,-61.3485,72.73,59,0,11.99,clear sky
213,Filingue,NE,14.3521,3.3168,97.02,31,36,5.7,scattered clouds
214,Grand Gaube,MU,-20.0064,57.6608,71.38,64,98,8.01,overcast clouds
215,Nuuk,GL,64.1835,-51.7216,41.61,100,75,15.01,light rain
216,Tiksi,RU,71.6872,128.8694,35.55,96,100,9.62,light rain
217,Ketchikan,US,55.3422,-131.6461,55.38,94,100,8.05,moderate rain
218,Bacong,PH,9.2464,123.2956,76.98,88,75,0.0,broken clouds
219,Komsomolskiy,UZ,40.4272,71.7189,74.12,64,75,9.22,broken clouds
220,Manta,EC,-0.95,-80.7333,74.98,78,100,10.36,overcast clouds
221,Kyaikto,MM,17.3,97.0167,75.9,93,100,1.3,overcast clouds
222,Bairiki,KI,1.3292,172.9752,82.4,78,40,16.11,scattered clouds
223,Coquimbo,CL,-29.9533,-71.3436,60.53,67,0,10.36,clear sky
224,Narsaq,GL,60.9167,-46.05,53.82,77,19,5.66,few clouds
225,Honningsvag,NO,70.9821,25.9704,58.75,77,0,1.14,clear sky
226,Amapa,BR,1.0,-52.0,76.33,95,95,3.18,overcast clouds
227,Maningrida,AU,-12.0667,134.2667,55.54,81,76,12.35,broken clouds
228,Ikongo,MG,-21.8833,47.4333,58.96,97,31,2.15,scattered clouds
229,Kununurra,AU,-15.7667,128.7333,60.78,21,2,12.66,clear sky
230,Bengkulu,ID,-3.8004,102.2655,75.13,93,100,5.39,overcast clouds
231,Carauari,BR,-4.8828,-66.8958,84.36,67,91,2.48,overcast clouds
232,Tipuani,BO,-15.5648,-68.0185,73.76,95,14,2.3,few clouds
233,Laguna,US,38.421,-121.4238,102.31,29,0,11.5,clear sky
234,Itoman,JP,26.1247,127.6694,82.42,89,20,4.61,few clouds
235,Ukiah,US,39.1502,-123.2078,97.52,27,0,11.5,clear sky
236,Charters Towers,AU,-20.1,146.2667,51.55,62,2,10.04,clear sky
237,George,ZA,-33.963,22.4617,54.32,54,0,4.18,clear sky
238,Rawson,AR,-43.3002,-65.1023,48.0,41,31,19.15,scattered clouds
239,San Jose,US,37.3394,-121.895,91.85,44,20,10.36,few clouds
240,Yellowknife,CA,62.456,-114.3525,73.92,49,75,11.5,broken clouds
241,Tasiilaq,GL,65.6145,-37.6368,46.56,79,64,6.04,broken clouds
242,Baker City,US,44.7749,-117.8344,92.91,26,0,0.0,clear sky
243,Byron Bay,AU,-28.65,153.6167,47.71,79,0,8.08,clear sky
244,Fortuna,US,40.5982,-124.1573,70.86,76,0,7.0,clear sky
245,Silver City,US,32.7701,-108.2803,91.36,25,0,10.36,clear sky
246,Zeya,RU,53.75,127.2667,66.7,94,98,3.78,light rain
247,Tricase,IT,39.9304,18.3553,74.55,59,53,13.18,broken clouds
248,Vardo,NO,70.3705,31.1107,57.18,72,81,8.05,broken clouds
249,Khatanga,RU,71.9667,102.5,37.87,90,100,10.4,light rain
250,Belmonte,BR,-15.8631,-38.8828,72.66,70,17,5.06,few clouds
251,Daitari,IN,21.1,85.75,76.01,92,87,4.9,moderate rain
252,Richards Bay,ZA,-28.783,32.0377,66.11,83,44,6.69,scattered clouds
253,Turtas,RU,58.9417,69.1325,59.38,75,60,5.91,broken clouds
254,Kupang,ID,-10.1667,123.5833,72.5,73,79,12.5,broken clouds
255,Quelimane,MZ,-17.8786,36.8883,66.42,86,16,3.24,few clouds
256,Luanda,AO,-8.8368,13.2343,67.96,91,7,10.02,clear sky
257,Ambunti,PG,-4.2365,142.8448,76.48,87,99,1.07,overcast clouds
258,Kaitangata,NZ,-46.2817,169.8464,44.4,95,100,14.45,overcast clouds
259,Lompoc,US,34.6391,-120.4579,86.77,63,0,14.97,clear sky
260,Tuzha,RU,57.6062,47.936,68.77,89,100,5.39,overcast clouds
261,Igarka,RU,67.4667,86.5833,44.38,71,50,14.47,scattered clouds
262,Ugoofaaru,MV,5.6667,73.0,81.7,74,95,11.52,overcast clouds
263,Matagami,CA,49.7502,-77.6328,69.91,49,40,18.41,scattered clouds
264,Touros,BR,-5.1989,-35.4608,76.57,81,9,12.77,clear sky
265,Rio Grande,BR,-32.035,-52.0986,50.11,74,51,10.47,broken clouds
266,Qaqortoq,GL,60.7167,-46.0333,44.6,81,16,6.38,few clouds
267,Tocopilla,CL,-22.092,-70.1979,60.42,74,89,1.36,overcast clouds
268,Kavaratti,IN,10.5669,72.642,81.36,81,100,19.53,overcast clouds
269,Mitsamiouli,KM,-11.3847,43.2844,77.07,70,56,5.86,broken clouds
270,Saint-Francois,FR,46.4154,3.9054,67.44,64,0,0.0,clear sky
271,Mabaruma,GY,8.2,-59.7833,76.89,94,98,5.77,overcast clouds
272,Kargil,IN,34.5667,76.1,56.25,62,11,8.41,few clouds
273,Konskie,PL,51.1917,20.4061,64.24,53,97,15.37,overcast clouds
274,San Blas,MX,21.5167,-105.2667,96.69,62,17,8.3,few clouds
275,Teguldet,RU,57.3064,88.1667,46.47,84,84,5.32,broken clouds
276,Arlit,NE,18.7369,7.3853,95.47,23,54,4.99,broken clouds
277,Okha,RU,53.5739,142.9478,60.94,73,1,11.68,clear sky
278,Sabha,LY,27.0377,14.4283,83.14,25,0,11.41,clear sky
279,Skegness,GB,53.1436,0.3363,73.47,70,78,6.46,broken clouds
280,Calamar,CO,10.2511,-74.9146,83.7,81,88,8.37,overcast clouds
281,Kayerkan,RU,69.3497,87.7602,44.53,93,96,12.03,overcast clouds
282,Yokadouma,CM,3.5167,15.05,68.5,94,100,2.68,overcast clouds
283,Jequie,BR,-13.8575,-40.0836,67.37,93,50,3.15,scattered clouds
284,Cabedelo,BR,-6.9811,-34.8339,77.67,82,10,11.23,clear sky
285,Coahuayana,MX,18.7333,-103.6833,89.29,60,78,7.2,broken clouds
286,Carnarvon,AU,-24.8667,113.6333,65.25,69,0,4.47,clear sky
287,Moyale,KE,3.5167,39.0584,65.93,65,96,13.15,overcast clouds
288,Corpus Christi,US,27.8006,-97.3964,98.83,61,20,18.41,few clouds
289,Hualmay,PE,-11.0964,-77.6139,65.3,70,14,9.57,few clouds
290,Vostok,RU,46.4856,135.8833,65.37,89,80,1.86,broken clouds
291,Iqaluit,CA,63.7506,-68.5145,53.33,87,100,4.61,overcast clouds
292,Kuching,MY,1.55,110.3333,77.22,94,40,2.3,scattered clouds
293,Hambantota,LK,6.1241,81.1185,79.14,89,20,9.22,few clouds
294,Tura,IN,25.5198,90.2201,75.58,91,100,4.36,overcast clouds
295,Shache,CN,38.4167,77.2406,81.72,31,100,3.65,overcast clouds
296,Egvekinot,RU,66.3167,-179.1667,42.17,95,100,7.05,light rain
297,Farafangana,MG,-22.8167,47.8333,65.05,89,14,2.68,light rain
298,Thaba-Tseka,LS,-29.522,28.6084,36.43,35,0,5.48,clear sky
299,Makakilo City,US,21.3469,-158.0858,82.15,58,40,13.8,scattered clouds
300,Kidal,ML,18.4411,1.4078,92.44,29,29,4.34,scattered clouds
301,Ranong,TH,9.9658,98.6348,77.49,85,100,17.2,light rain
302,Keti Bandar,PK,24.1447,67.4497,82.99,85,90,17.92,overcast clouds
303,Bethel,US,41.3712,-73.414,90.45,62,20,11.5,few clouds
304,Duobao,CN,30.67,112.6895,82.58,78,100,12.21,overcast clouds
305,Graaff-Reinet,ZA,-32.2522,24.5308,51.51,45,0,8.19,clear sky
306,Genhe,CN,50.7833,121.5167,60.12,99,100,3.13,overcast clouds
307,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,100,4.47,overcast clouds
308,Strezhevoy,RU,60.7333,77.5889,55.45,59,100,6.93,overcast clouds
309,Flinders,AU,-34.5833,150.8552,47.25,84,100,5.99,light rain
310,Nanyang,CN,32.9947,112.5328,78.24,79,98,9.06,overcast clouds
311,Roald,NO,62.5833,6.1333,60.91,77,75,16.11,broken clouds
312,Bowen,AU,-20.0167,148.2333,58.86,73,0,11.23,clear sky
313,Dingle,PH,10.9995,122.6711,76.53,91,100,4.09,overcast clouds
314,Mandalgovi,MN,45.7625,106.2708,54.09,73,0,8.12,clear sky
315,Ban Chang,TH,12.7254,101.0553,84.72,95,75,3.44,broken clouds
316,Kundiawa,PG,-6.0167,144.9667,64.15,86,53,0.58,broken clouds
317,Skjervoy,NO,70.0311,20.9714,60.8,67,9,13.09,clear sky
318,Aleksandrov Gay,RU,50.147,48.5704,80.37,45,100,1.97,overcast clouds
319,Sitka,US,57.0531,-135.33,55.29,76,100,5.75,overcast clouds
320,Daru,PG,-9.0763,143.2092,78.15,82,79,12.82,broken clouds
321,Alghero,IT,40.5589,8.3181,75.29,73,0,3.44,clear sky
322,Empangeni,ZA,-28.762,31.8933,63.25,87,45,3.76,scattered clouds
323,Okhotsk,RU,59.3833,143.3,59.27,92,100,9.42,light rain
324,Vao,NC,-22.6667,167.4833,73.08,83,95,11.7,overcast clouds
325,Back Mountain,US,41.3359,-75.9963,81.64,43,68,9.95,broken clouds
326,Fairbanks,US,64.8378,-147.7164,77.02,63,75,3.44,smoke
327,Tual,ID,-5.6667,132.75,78.49,84,100,19.91,moderate rain
328,Beira,MZ,-19.8436,34.8389,69.89,94,40,4.61,scattered clouds
329,Wolfsburg,DE,52.4333,10.8,67.26,68,75,3.51,broken clouds
330,Meulaboh,ID,4.1363,96.1285,75.24,85,95,6.29,overcast clouds
331,Banda Aceh,ID,5.5577,95.3222,79.83,77,100,12.1,overcast clouds
332,Duldurga,RU,50.6761,113.5931,55.51,90,63,3.85,broken clouds
333,Geraldton,AU,-28.7667,114.6,50.41,81,0,6.91,clear sky
334,Christchurch,NZ,-43.5333,172.6333,49.91,72,68,3.44,broken clouds
335,Agadir,MA,30.4202,-9.5982,72.05,76,76,1.43,broken clouds
336,Sunrise Manor,US,36.2111,-115.0731,112.87,10,0,10.36,clear sky
337,Hobyo,SO,5.3505,48.5268,76.98,74,79,23.85,broken clouds
338,Pacific Grove,US,36.6177,-121.9166,74.21,76,0,14.97,clear sky
339,Novoagansk,RU,61.9449,76.6625,54.82,67,100,10.76,overcast clouds
340,Medvedevo,RU,56.6339,47.804,69.03,84,91,6.15,overcast clouds
341,Tuban,ID,-6.8976,112.0649,75.51,89,62,4.97,broken clouds
342,Sur,OM,22.5667,59.5289,87.26,72,94,4.25,overcast clouds
343,Paamiut,GL,61.994,-49.6678,41.59,95,49,11.63,scattered clouds
344,Zaysan,KZ,47.4667,84.8667,63.75,75,99,13.18,light rain
345,Uyuni,BO,-20.4597,-66.825,41.04,17,48,6.24,scattered clouds
